Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.0,3,False,,
Runde2,9.0,6,False,Jeanine: positive,Jeanine: 10
Runde3,11.0,6,False,Cassi: positive,Cassi: 10
Runde4,14.0,2,False,Jeanine: positive,Jeanine: 10.0
Runde5,15.0,10,False,Jeanine: positive,Jeanine: 10.0
Runde6,16.5,13,False,,
Runde7,20.0,9,False,Cassi: positive,Cassi: 10.0
Runde8,20.5,14,False,,
Runde9,28.0,19,False,,
Runde10,44.0,8,False,Jeanine: positive | Goldy: positive,Jeanine: 10.0 | Goldy: 10
Runde11,58.0,1,False,Jeanine: positive | Cassi: positive,Jeanine: 10.0 | Cassi: 10.0
Runde12,57.5,15,False,Jeanine: positive,Jeanine: 10.0
Runde13,55.5,17,False,Goldy: positive,Goldy: 10.0
Runde14,62.5,9,False,,
Runde15,67.0,5,False,Cassi: positive | Goldy: positive,Cassi: 10.0 | Goldy: 10.0
Runde16,68.5,12,False,,
Runde17,77.0,3,False,,
Runde18,87.0,1,False,Goldy: positive,Goldy: 10.0
Runde19,87.5,10,False,,
Runde20,100.0,1,False,,
Runde21,107.5,12,False,Cassi: positive,Cassi: 10.0
Runde22,120.0,4,False,Jeanine: positive,Jeanine: 10.0
Runde23,124.5,12,False,Jeanine: positive | Cassi: positive,Jeanine: 10.0 | Cassi: 10.0
Runde24,126.5,11,False,Cassi: positive,Cassi: 10.0
Runde25,,,False,,
