Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.0,2,False,,
Runde2,9.0,7,False,Edith: positive,Edith: 10
Runde3,12.0,5,False,Edith: positive,Edith: 10.0
Runde4,12.0,5,False,,
Runde5,20.0,3,False,,
Runde6,31.5,3,False,Edith: positive | Goldy: positive,Edith: 10.0 | Goldy: 10
Runde7,34.0,10,False,Cassi: positive,Cassi: 10
Runde8,45.5,3,False,Cassi: positive,Cassi: 10.0
Runde9,53.0,19,False,Edith: positive,Edith: 10.0
Runde10,61.0,16,False,Edith: positive,Edith: 10.0
Runde11,65.0,11,False,Edith: positive | Goldy: positive,Edith: 10.0 | Goldy: 10.0
Runde12,77.5,2,False,,
Runde13,86.5,6,False,Goldy: positive,Goldy: 10.0
Runde14,96.5,6,False,,
Runde15,105.0,1,False,Cassi: positive | Goldy: positive,Cassi: 10.0 | Goldy: 10.0
Runde16,112.5,6,False,Edith: positive,Edith: 10.0
Runde17,111.0,13,False,,
Runde18,111.0,11,False,Goldy: positive,Goldy: 10.0
Runde19,117.5,4,False,,
Runde20,113.0,18,False,Edith: positive,Edith: 10.0
Runde21,116.5,16,False,,
Runde22,114.0,19,False,Edith: positive,Edith: 10.0
Runde23,127.5,3,False,Cassi: positive,Cassi: 10.0
Runde24,140.5,0,False,Edith: positive | Cassi: positive,Edith: 10.0 | Cassi: 10.0
Runde25,,,False,,
