Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,23.75,3,False,,
Runde2,63.0,5,False,,
Runde3,106.75,2,False,Patrice: positive,Patrice: 10
Runde4,158.0,11,False,Arlie: positive | Meris: positive | Minetta: positive,Arlie: 10 | Meris: 10 | Minetta: 10
Runde5,202.0,4,False,Tessie: positive | Wilmette: positive,Tessie: 10 | Wilmette: 10
Runde6,263.25,10,False,Meris: positive | Wilmette: positive | Minetta: positive,Meris: 10.0 | Wilmette: 10.0 | Minetta: 10.0
Runde7,332.75,4,False,Tandie: positive | Hulda: positive,Tandie: 10 | Hulda: 10
Runde8,392.25,14,False,Niki: positive | Tandie: positive,Niki: 10 | Tandie: 10.0
Runde9,429.5,16,False,Tessie: positive | Arlie: positive | Meris: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Arlie: 10.0 | Meris: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde10,480.75,2,False,Tessie: positive | Patrice: positive | Tandie: positive,Tessie: 10.0 | Patrice: 10.0 | Tandie: 10.0
Runde11,544.25,4,False,Niki: positive,Niki: 10.0
Runde12,586.25,18,False,Niki: positive | Patrice: positive | Tandie: positive | Hulda: positive,Niki: 10.0 | Patrice: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde13,639.0,20,False,Tessie: positive | Meris: positive,Tessie: 10.0 | Meris: 10.0
Runde14,682.5,9,False,Tessie: positive | Arlie: positive | Niki: positive | Patrice: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Arlie: 10.0 | Niki: 10.0 | Patrice: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde15,729.5,4,False,Wilmette: positive | Tandie: positive | Minetta: positive,Wilmette: 10.0 | Tandie: 10.0 | Minetta: 10.0
Runde16,766.75,19,False,Tessie: positive | Wilmette: positive | Patrice: positive | Minetta: positive,Tessie: 10.0 | Wilmette: 10.0 | Patrice: 10.0 | Minetta: 10.0
Runde17,805.25,5,False,Niki: positive | Hulda: positive,Niki: 10.0 | Hulda: 10.0
Runde18,870.0,14,False,Minetta: positive,Minetta: 10.0
Runde19,925.25,13,False,Patrice: positive | Tandie: positive,Patrice: 10.0 | Tandie: 10.0
Runde20,963.0,14,False,Tessie: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde21,1003.5,12,False,Tessie: positive | Minetta: positive,Tessie: 10.0 | Minetta: 10.0
Runde22,1034.5,11,False,Tessie: positive | Arlie: positive | Niki: positive | Patrice: positive | Minetta: positive | Hulda: positive,Tessie: 10.0 | Arlie: 10.0 | Niki: 10.0 | Patrice: 10.0 | Minetta: 10.0 | Hulda: 10.0
Runde23,1084.25,20,False,Patrice: positive | Tandie: positive | Minetta: positive,Patrice: 10.0 | Tandie: 10.0 | Minetta: 10.0
Runde24,1143.75,2,False,Niki: positive | Minetta: positive,Niki: 10.0 | Minetta: 10.0
Runde25,,,False,,
