Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,22.75,4,False,,
Runde2,53.0,14,False,,
Runde3,88.75,10,False,Arlie: positive | Niki: positive | Tandie: positive | Hulda: positive,Arlie: 10 | Niki: 10 | Tandie: 10 | Hulda: 10
Runde4,141.0,10,False,Arlie: positive | Meris: positive,Arlie: 10.0 | Meris: 10
Runde5,178.0,11,False,Tessie: positive | Jennine: positive | Minetta: positive,Tessie: 10 | Jennine: 10 | Minetta: 10
Runde6,247.25,2,False,Arlie: positive | Meris: positive | Minetta: positive,Arlie: 10.0 | Meris: 10.0 | Minetta: 10.0
Runde7,305.75,15,False,Minetta: positive,Minetta: 10.0
Runde8,375.25,4,False,Arlie: positive | Meris: positive | Patrice: positive | Minetta: positive,Arlie: 10.0 | Meris: 10.0 | Patrice: 10 | Minetta: 10.0
Runde9,426.5,2,False,Tessie: positive | Arlie: positive | Jennine: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Arlie: 10.0 | Jennine: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde10,477.75,2,False,Tessie: positive | Patrice: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Patrice: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde11,539.25,6,False,Niki: positive | Patrice: positive,Niki: 10.0 | Patrice: 10.0
Runde12,598.25,1,False,Tessie: positive | Niki: positive | Meris: positive | Tandie: positive | Minetta: positive,Tessie: 10.0 | Niki: 10.0 | Meris: 10.0 | Tandie: 10.0 | Minetta: 10.0
Runde13,670.0,1,False,Tessie: positive | Jennine: positive | Niki: positive | Meris: positive,Tessie: 10.0 | Jennine: 10.0 | Niki: 10.0 | Meris: 10.0
Runde14,713.5,9,False,Arlie: positive | Minetta: positive | Hulda: positive,Arlie: 10.0 | Minetta: 10.0 | Hulda: 10.0
Runde15,758.5,6,False,Jennine: positive | Niki: positive | Hulda: positive,Jennine: 10.0 | Niki: 10.0 | Hulda: 10.0
Runde16,814.75,0,False,Tessie: positive | Arlie: positive | Meris: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Arlie: 10.0 | Meris: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde17,850.25,8,False,Jennine: positive | Niki: positive | Hulda: positive,Jennine: 10.0 | Niki: 10.0 | Hulda: 10.0
Runde18,918.0,11,False,Jennine: positive | Minetta: positive,Jennine: 10.0 | Minetta: 10.0
Runde19,986.25,0,False,Tessie: positive | Arlie: positive | Meris: positive | Tandie: positive,Tessie: 10.0 | Arlie: 10.0 | Meris: 10.0 | Tandie: 10.0
Runde20,1038.0,0,False,Tessie: positive | Jennine: positive | Niki: positive | Tandie: positive | Hulda: positive,Tessie: 10.0 | Jennine: 10.0 | Niki: 10.0 | Tandie: 10.0 | Hulda: 10.0
Runde21,1086.5,4,False,Arlie: positive | Jennine: positive,Arlie: 10.0 | Jennine: 10.0
Runde22,1128.5,0,False,Niki: positive,Niki: 10.0
Runde23,1190.25,8,False,Minetta: positive,Minetta: 10.0
Runde24,1251.75,0,False,Meris: positive | Tandie: positive | Minetta: positive,Meris: 10.0 | Tandie: 10.0 | Minetta: 10.0
Runde25,,,False,,
