Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,20.0,0,False,,
Runde2,88.0,7,False,,
Runde3,160.75,6,False,Dode: positive | Catherin: positive | Marlyn: positive | Erin: positive | Elysee: positive,Dode: 10 | Catherin: 10 | Marlyn: 10 | Erin: 10 | Elysee: 10
Runde4,261.0,19,False,Dode: positive | Catherin: positive | Geri: positive | Aurelia: positive,Dode: 10.0 | Catherin: 10.0 | Geri: 10 | Aurelia: 10
Runde5,371.75,1,False,Marlyn: positive | Geri: positive,Marlyn: 10.0 | Geri: 10.0
Runde6,447.25,7,False,Dode: positive | Geri: positive | Erin: positive | Elysee: positive,Dode: 10.0 | Geri: 10.0 | Erin: 10.0 | Elysee: 10.0
Runde7,503.25,13,False,Phillida: positive | Noell: positive | Aurlie: positive,Phillida: 10 | Noell: 10 | Aurlie: 10
Runde8,580.5,0,False,Catherin: positive | Aurlie: positive,Catherin: 10.0 | Aurlie: 10.0
Runde9,700.5,0,False,Geri: positive,Geri: 10.0
Runde10,790.75,20,False,Catherin: positive | Noell: positive | Geri: positive | Kaycee: positive | Aurelia: positive | Erin: positive | Beth: positive,Catherin: 10.0 | Noell: 10.0 | Geri: 10.0 | Kaycee: 10 | Aurelia: 10.0 | Erin: 10.0 | Beth: 10
Runde11,881.5,15,False,Phillida: positive | Beth: positive | Elysee: positive,Phillida: 10.0 | Beth: 10.0 | Elysee: 10.0
Runde12,954.75,1,False,Catherin: positive | Marlyn: positive | Kaycee: positive | Aurelia: positive | Erin: positive | Elysee: positive,Catherin: 10.0 | Marlyn: 10.0 | Kaycee: 10.0 | Aurelia: 10.0 | Erin: 10.0 | Elysee: 10.0
Runde13,1047.5,1,False,Minny: positive,Minny: 10
Runde14,1096.25,3,False,Phillida: positive | Dode: positive | Catherin: positive | Noell: positive | Beth: positive | Elysee: positive | Minny: positive,Phillida: 10.0 | Dode: 10.0 | Catherin: 10.0 | Noell: 10.0 | Beth: 10.0 | Elysee: 10.0 | Minny: 10.0
Runde15,1154.75,0,False,,
Runde16,1251.75,17,False,Aurelia: positive | Elysee: positive,Aurelia: 10.0 | Elysee: 10.0
Runde17,1344.0,3,False,Phillida: positive | Kaycee: positive | Erin: positive | Beth: positive,Phillida: 10.0 | Kaycee: 10.0 | Erin: 10.0 | Beth: 10.0
Runde18,1455.75,18,False,Dode: positive | Catherin: positive | Aurelia: positive | Aurlie: positive | Minny: positive,Dode: 10.0 | Catherin: 10.0 | Aurelia: 10.0 | Aurlie: 10.0 | Minny: 10.0
Runde19,1528.25,19,False,Phillida: positive | Catherin: positive | Marlyn: positive | Geri: positive | Erin: positive | Beth: positive,Phillida: 10.0 | Catherin: 10.0 | Marlyn: 10.0 | Geri: 10.0 | Erin: 10.0 | Beth: 10.0
Runde20,1603.0,1,False,Phillida: positive | Aurelia: positive | Erin: positive | Beth: positive,Phillida: 10.0 | Aurelia: 10.0 | Erin: 10.0 | Beth: 10.0
Runde21,1653.75,13,False,Dode: positive | Geri: positive | Erin: positive | Aurlie: positive | Minny: positive,Dode: 10.0 | Geri: 10.0 | Erin: 10.0 | Aurlie: 10.0 | Minny: 10.0
Runde22,1713.25,8,False,Dode: positive | Geri: positive | Beth: positive,Dode: 10.0 | Geri: 10.0 | Beth: 10.0
Runde23,1804.25,2,False,Phillida: positive | Marlyn: positive | Aurelia: positive | Aurlie: positive | Minny: positive,Phillida: 10.0 | Marlyn: 10.0 | Aurelia: 10.0 | Aurlie: 10.0 | Minny: 10.0
Runde24,1891.25,18,False,Catherin: positive | Geri: positive | Kaycee: positive | Erin: positive,Catherin: 10.0 | Geri: 10.0 | Kaycee: 10.0 | Erin: 10.0
Runde25,,,False,,
