Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,19.0,1,False,,
Runde2,79.0,15,False,,
Runde3,150.75,7,False,Dode: positive | Catherin: positive | Elysee: positive | Aurlie: positive,Dode: 10 | Catherin: 10 | Elysee: 10 | Aurlie: 10
Runde4,255.0,15,False,Noell: positive | Geri: positive | Aurelia: positive | Aurlie: positive | Minny: positive,Noell: 10 | Geri: 10 | Aurelia: 10 | Aurlie: 10.0 | Minny: 10
Runde5,366.75,0,False,Phillida: positive | Marlyn: positive | Aurelia: positive | Erin: positive | Jasmin: positive,Phillida: 10 | Marlyn: 10 | Aurelia: 10.0 | Erin: 10 | Jasmin: 10
Runde6,444.25,5,False,Phillida: positive | Catherin: positive | Noell: positive | Geri: positive,Phillida: 10.0 | Catherin: 10.0 | Noell: 10.0 | Geri: 10.0
Runde7,510.25,3,False,Noell: positive | Aurelia: positive | Jasmin: positive,Noell: 10.0 | Aurelia: 10.0 | Jasmin: 10.0
Runde8,571.5,16,False,Noell: positive | Geri: positive,Noell: 10.0 | Geri: 10.0
Runde9,679.5,12,False,Dode: positive | Aurlie: positive,Dode: 10.0 | Aurlie: 10.0
Runde10,784.75,5,False,Dode: positive | Catherin: positive | Marlyn: positive | Erin: positive | Beth: positive,Dode: 10.0 | Catherin: 10.0 | Marlyn: 10.0 | Erin: 10.0 | Beth: 10
Runde11,872.5,18,False,Marlyn: positive | Noell: positive | Beth: positive | Minny: positive,Marlyn: 10.0 | Noell: 10.0 | Beth: 10.0 | Minny: 10.0
Runde12,932.75,14,False,Phillida: positive | Marlyn: positive | Erin: positive | Beth: positive | Jasmin: positive,Phillida: 10.0 | Marlyn: 10.0 | Erin: 10.0 | Beth: 10.0 | Jasmin: 10.0
Runde13,1022.5,4,False,Phillida: positive | Geri: positive | Erin: positive | Minny: positive,Phillida: 10.0 | Geri: 10.0 | Erin: 10.0 | Minny: 10.0
Runde14,1070.25,4,False,Phillida: positive | Catherin: positive | Noell: positive | Elysee: positive | Minny: positive,Phillida: 10.0 | Catherin: 10.0 | Noell: 10.0 | Elysee: 10.0 | Minny: 10.0
Runde15,1119.75,9,False,Aurlie: positive,Aurlie: 10.0
Runde16,1215.75,18,False,Aurelia: positive,Aurelia: 10.0
Runde17,1305.0,6,False,Dode: positive | Marlyn: positive | Noell: positive | Aurlie: positive | Jasmin: positive,Dode: 10.0 | Marlyn: 10.0 | Noell: 10.0 | Aurlie: 10.0 | Jasmin: 10.0
Runde18,1416.75,18,False,Phillida: positive | Catherin: positive | Marlyn: positive | Erin: positive | Aurlie: positive,Phillida: 10.0 | Catherin: 10.0 | Marlyn: 10.0 | Erin: 10.0 | Aurlie: 10.0
Runde19,1502.25,6,False,Marlyn: positive | Noell: positive | Geri: positive | Aurelia: positive | Erin: positive | Beth: positive | Minny: positive | Jasmin: positive,Marlyn: 10.0 | Noell: 10.0 | Geri: 10.0 | Aurelia: 10.0 | Erin: 10.0 | Beth: 10.0 | Minny: 10.0 | Jasmin: 10.0
Runde20,1569.0,9,False,Noell: positive | Erin: positive | Beth: positive | Aurlie: positive,Noell: 10.0 | Erin: 10.0 | Beth: 10.0 | Aurlie: 10.0
Runde21,1629.75,3,False,Phillida: positive | Geri: positive | Erin: positive | Aurlie: positive,Phillida: 10.0 | Geri: 10.0 | Erin: 10.0 | Aurlie: 10.0
Runde22,1693.25,4,False,Dode: positive | Erin: positive | Aurlie: positive,Dode: 10.0 | Erin: 10.0 | Aurlie: 10.0
Runde23,1774.25,12,False,Phillida: positive | Minny: positive | Jasmin: positive,Phillida: 10.0 | Minny: 10.0 | Jasmin: 10.0
Runde24,1865.25,14,False,Dode: positive | Geri: positive,Dode: 10.0 | Geri: 10.0
Runde25,,,False,,
