Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.75,0,False,,
Runde2,6.5,0,False,,
Runde3,6.25,1,False,,
Runde4,6.25,0,False,Aime: ,Aime: 5
Runde5,10.0,0,False,Aime: ,Aime: 5.0
Runde6,8.75,8,False,Aime: positive,Aime: 6.428571428571429
Runde7,9.25,4,False,Defector: negative,Defector: 1
Runde8,16.5,1,False,,
Runde9,17.75,4,False,,
Runde10,22.5,8,False,,
Runde11,19.75,11,False,,
Runde12,29.5,18,False,,
Runde13,26.5,18,False,,
Runde14,30.25,9,False,,
Runde15,30.0,7,False,,
Runde16,36.0,6,False,,
Runde17,48.0,3,False,Aime: positive,Aime: 7.0
Runde18,53.25,3,False,Aime: positive,Aime: 7.3076923076923075
Runde19,57.5,1,False,Aime: positive,Aime: 7.5
Runde20,60.0,8,False,Aime: positive,Aime: 7.631578947368421
Runde21,66.5,10,False,,
Runde22,65.75,3,False,,
Runde23,78.5,0,False,,
Runde24,78.0,2,False,,
Runde25,86.75,7,False,,
Runde26,96.75,8,False,,
Runde27,108.75,12,False,Aime: positive,Aime: 7.7272727272727275
Runde28,115.25,7,False,,
Runde29,115.5,2,False,,
Runde30,124.5,0,False,,
Runde31,136.5,6,False,,
Runde32,145.25,19,False,,
Runde33,146.0,9,False,,
Runde34,154.0,1,False,,
Runde35,152.75,5,False,Aime: positive,Aime: 7.8
Runde36,157.25,3,False,,
Runde37,160.75,16,False,Aime: positive,Aime: 7.857142857142857
Runde38,160.25,2,False,,
Runde39,165.5,9,False,,
Runde40,164.0,9,False,Aime: positive,Aime: 7.903225806451613
Runde41,171.25,13,False,,
Runde42,169.5,13,False,,
Runde43,176.25,3,False,,
Runde44,179.25,9,False,,
Runde45,182.75,1,False,,
Runde46,187.75,1,False,,
Runde47,187.75,9,False,Aime: positive,Aime: 7.9411764705882355
Runde48,188.25,4,False,,
Runde49,198.0,6,False,,
Runde50,,,False,,
