Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.5,0,False,,
Runde2,11.75,0,False,,
Runde3,12.5,0,False,,
Runde4,17.75,0,False,,
Runde5,22.25,0,False,,
Runde6,37.25,0,False,,
Runde7,38.75,0,False,,
Runde8,52.25,0,False,,
Runde9,65.75,0,False,,
Runde10,67.25,0,False,,
Runde11,68.75,0,False,,
Runde12,81.5,0,False,,
Runde13,101.75,0,False,,
Runde14,117.5,0,False,,
Runde15,122.0,0,False,,
Runde16,128.0,0,False,,
Runde17,137.0,0,False,,
Runde18,145.25,0,False,,
Runde19,148.25,0,False,,
Runde20,149.75,0,False,,
Runde21,155.75,0,False,,
Runde22,182.75,0,False,,
Runde23,184.25,0,False,,
Runde24,206.0,0,False,,
Runde25,218.75,0,False,,
Runde26,233.0,0,False,,
Runde27,247.25,0,False,,
Runde28,251.75,0,False,,
Runde29,266.0,0,False,,
Runde30,287.0,0,False,,
Runde31,291.5,0,False,,
Runde32,314.0,0,False,,
Runde33,326.0,0,False,,
Runde34,337.25,0,False,,
Runde35,353.0,0,False,,
Runde36,360.5,0,False,,
Runde37,369.5,0,False,,
Runde38,389.75,0,False,,
Runde39,401.0,0,False,,
Runde40,410.0,0,False,,
Runde41,415.25,0,False,,
Runde42,420.5,0,False,,
Runde43,437.75,0,False,,
Runde44,450.5,0,False,,
Runde45,461.75,0,False,,
Runde46,466.25,0,False,,
Runde47,468.5,0,False,,
Runde48,478.25,0,False,,
Runde49,,,False,,
