Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.5,2,False,,
Runde2,6.75,3,False,,
Runde3,7.5,0,False,Romy: positive,Romy: 10
Runde4,11.75,1,False,,
Runde5,12.25,4,False,Romy: positive,Romy: 10.0
Runde6,15.25,12,False,,
Runde7,15.75,1,False,,
Runde8,21.25,8,False,,
Runde9,32.75,2,False,,
Runde10,33.25,1,False,,
Runde11,33.75,1,False,,
Runde12,44.5,2,False,,
Runde13,49.75,15,False,Romy: positive,Romy: 10.0
Runde14,50.5,15,False,Romy: positive,Romy: 10.0
Runde15,50.0,5,False,Romy: positive,Romy: 10.0
Runde16,55.0,1,False,,
Runde17,60.0,4,False,,
Runde18,63.25,5,False,,
Runde19,66.25,0,False,Romy: positive,Romy: 10.0
Runde20,66.75,1,False,,
Runde21,70.75,2,False,,
Runde22,81.75,16,False,,
Runde23,81.25,2,False,,
Runde24,86.0,17,False,,
Runde25,93.75,5,False,,
Runde26,103.0,5,False,,
Runde27,100.25,17,False,,
Runde28,98.75,6,False,,
Runde29,104.0,9,False,,
Runde30,117.0,8,False,,
Runde31,116.5,5,False,,
Runde32,127.0,12,False,,
Runde33,134.0,5,False,,
Runde34,138.25,7,False,,
Runde35,138.0,16,False,,
Runde36,145.5,0,False,,
Runde37,146.5,8,False,,
Runde38,156.75,10,False,,
Runde39,165.0,3,False,Romy: positive,Romy: 10.0
Runde40,168.0,6,False,,
Runde41,171.25,2,False,Romy: positive,Romy: 10.0
Runde42,171.5,5,False,,
Runde43,168.75,20,False,,
Runde44,169.5,12,False,,
Runde45,180.75,0,False,,
Runde46,184.25,1,False,,
Runde47,186.5,0,False,Romy: positive,Romy: 10.0
Runde48,196.25,0,False,,
Runde49,,,False,,
