Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.0,4,False,,
Runde2,3.5,2,False,,
Runde3,9.25,1,False,,
Runde4,9.25,3,False,Defector: negative,Defector: 1
Runde5,12.75,1,False,,
Runde6,15.5,1,False,Hyacintha: positive,Hyacintha: 10
Runde7,16.0,4,False,,
Runde8,14.0,8,False,,
Runde9,18.75,11,False,,
Runde10,29.75,4,False,,
Runde11,35.25,20,False,,
Runde12,34.5,15,False,Hyacintha: positive,Hyacintha: 10.0
Runde13,32.75,7,False,,
Runde14,39.25,19,False,,
Runde15,34.5,19,False,,
Runde16,33.0,6,False,,
Runde17,30.0,18,False,,
Runde18,29.75,10,False,,
Runde19,30.75,2,False,,
Runde20,42.25,2,False,,
Runde21,42.0,13,False,,
Runde22,40.25,10,False,,
Runde23,43.75,4,False,,
Runde24,50.0,14,False,,
Runde25,,,False,,
