Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.0,0,False,,
Runde2,8.0,6,False,,
Runde3,9.25,1,False,,
Runde4,10.75,0,False,,
Runde5,10.75,0,False,,
Runde6,12.25,3,False,,
Runde7,13.0,9,False,,
Runde8,15.5,2,False,,
Runde9,23.75,9,False,Lilyan: positive,Lilyan: 10
Runde10,22.25,12,False,Lilyan: positive,Lilyan: 10.0
Runde11,33.75,2,False,,
Runde12,42.25,2,False,,
Runde13,49.75,0,False,,
Runde14,53.75,5,False,,
Runde15,56.0,0,False,,
Runde16,57.25,13,False,,
Runde17,57.5,2,False,,
Runde18,65.75,3,False,,
Runde19,68.0,6,False,,
Runde20,71.5,1,False,Lilyan: positive,Lilyan: 10.0
Runde21,75.0,7,False,,
Runde22,74.25,12,False,,
Runde23,79.5,6,False,,
Runde24,83.5,5,False,,
Runde25,87.5,2,False,Lilyan: positive,Lilyan: 10.0
Runde26,84.0,17,False,Lilyan: positive,Lilyan: 10.0
Runde27,95.75,13,False,,
Runde28,96.5,15,False,,
Runde29,106.25,3,False,,
Runde30,113.5,10,False,,
Runde31,117.0,1,False,Lilyan: positive,Lilyan: 10.0
Runde32,122.25,15,False,Lilyan: positive,Lilyan: 10.0
Runde33,118.5,15,False,,
Runde34,118.25,4,False,,
Runde35,,,False,,
