Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,11.25,2,False,,
Runde2,12.5,4,False,Jessie: positive,Jessie: 10
Runde3,18.25,1,False,,
Runde4,35.25,1,False,Sara-Ann: positive,Sara-Ann: 10
Runde5,51.5,13,False,Davine: positive,Davine: 10
Runde6,61.75,7,False,,
Runde7,91.25,2,False,Davine: positive,Davine: 10.0
Runde8,101.75,15,False,Jessie: positive | Sara-Ann: positive | Davine: positive,Jessie: 10.0 | Sara-Ann: 10.0 | Davine: 10.0
Runde9,120.0,20,False,,
Runde10,133.75,17,False,Jessie: positive | Davine: positive,Jessie: 10.0 | Davine: 10.0
Runde11,149.5,3,False,Jessie: positive | Davine: positive,Jessie: 10.0 | Davine: 10.0
Runde12,157.25,8,False,Sara-Ann: positive | Davine: positive,Sara-Ann: 10.0 | Davine: 10.0
Runde13,161.25,17,False,Jessie: positive,Jessie: 10.0
Runde14,176.75,4,False,,
Runde15,196.25,0,False,Jessie: positive | Sara-Ann: positive | Davine: positive,Jessie: 10.0 | Sara-Ann: 10.0 | Davine: 10.0
Runde16,204.0,2,False,,
Runde17,218.75,13,False,,
Runde18,242.25,5,False,Jessie: positive | Sara-Ann: positive | Davine: positive,Jessie: 10.0 | Sara-Ann: 10.0 | Davine: 10.0
Runde19,253.25,7,False,Davine: positive,Davine: 10.0
Runde20,275.0,9,False,Jessie: positive,Jessie: 10.0
Runde21,306.0,20,False,,
Runde22,313.25,4,False,Sara-Ann: positive | Davine: positive,Sara-Ann: 10.0 | Davine: 10.0
Runde23,343.0,4,False,Jessie: positive,Jessie: 10.0
Runde24,362.25,10,False,,
Runde25,,,False,,
